5_total_runs,5_player_dismissed,10_total_runs,10_player_dismissed,15_total_runs,15_player_dismissed,inning
42.0,1.0,88.0,1.0,151.0,2.0,1
48.0,0.0,98.0,2.0,139.0,5.0,2
48.0,1.0,82.0,3.0,120.0,5.0,1
43.0,1.0,93.0,1.0,139.0,2.0,2
40.0,1.0,91.0,2.0,125.0,3.0,1
32.0,1.0,63.0,3.0,108.0,4.0,1
32.0,1.0,61.0,3.0,121.0,4.0,1
37.0,1.0,79.0,3.0,113.0,6.0,2
35.0,1.0,60.0,4.0,102.0,4.0,1
48.0,2.0,79.0,3.0,117.0,4.0,1
44.0,0.0,74.0,3.0,115.0,4.0,2
22.0,3.0,53.0,3.0,71.0,4.0,1
47.0,1.0,81.0,2.0,123.0,2.0,1
26.0,0.0,75.0,0.0,118.0,3.0,1
53.0,0.0,95.0,2.0,134.0,4.0,1
34.0,0.0,66.0,1.0,110.0,1.0,1
60.0,1.0,92.0,3.0,126.0,5.0,1
33.0,1.0,75.0,2.0,124.0,3.0,1
39.0,0.0,59.0,2.0,113.0,5.0,2
41.0,0.0,83.0,2.0,120.0,4.0,1
33.0,3.0,64.0,4.0,103.0,6.0,2
31.0,1.0,75.0,1.0,120.0,3.0,1
47.0,1.0,89.0,2.0,132.0,3.0,2
50.0,0.0,79.0,2.0,117.0,2.0,1
39.0,1.0,67.0,2.0,92.0,4.0,2
50.0,0.0,83.0,2.0,110.0,4.0,1
34.0,3.0,88.0,3.0,135.0,4.0,2
25.0,1.0,54.0,3.0,108.0,3.0,1
32.0,2.0,62.0,5.0,104.0,6.0,2
36.0,0.0,92.0,0.0,153.0,1.0,1
48.0,2.0,103.0,3.0,139.0,5.0,2
31.0,1.0,80.0,1.0,135.0,1.0,1
47.0,1.0,87.0,3.0,127.0,4.0,2
39.0,0.0,69.0,1.0,139.0,2.0,1
57.0,1.0,96.0,1.0,141.0,2.0,1
47.0,1.0,68.0,4.0,102.0,5.0,1
21.0,4.0,57.0,6.0,91.0,6.0,2
34.0,0.0,65.0,1.0,113.0,2.0,1
37.0,1.0,83.0,1.0,115.0,3.0,2
36.0,1.0,88.0,2.0,135.0,4.0,1
43.0,1.0,82.0,3.0,121.0,6.0,2
56.0,1.0,87.0,4.0,107.0,6.0,1
37.0,0.0,84.0,1.0,120.0,3.0,1
35.0,1.0,68.0,3.0,113.0,4.0,2
42.0,0.0,83.0,1.0,129.0,2.0,1
